,Publisher,,Name of Comic,,Story Title,,Year,,Volume,,No.,,Front Cover Artist,,Artist 1,,Artist 2,,Artist 3,,Condition,,Est. Value,,Notes
,Rip Off Press,,Rip Off Comix,,Dorman's Doggie,,1978,,,,4,,"Shelton, Gilbert",,"Sturgeon, Foolbert",,,,,,,,,,
,Rip Off Press,,Rip Off Comix,,Wonder Warthog in Sudden Death,,1978,,,,4,,"Shelton, Gilbert",,"Shelton, Gilbert",,,,,,,,,,
,Rip Off Press,,Rip Off Comix,,"Cartoon Cavalcade, Clone Sweet Clone",,1978,,,,4,,"Shelton, Gilbert",,"Beck, Joel",,,,,,,,,,
,Rip Off Press,,Rip Off Comix,,"Fabulous Furry Freak Brothers, Take Me Out",,1979,,,,5,,"Shelton, Gilbert",,"Shelton, Gilbert",,,,,,NM,,20,,"2 copies- Back Cover, Northern California - Answer to Disneyland, Gilbert Shelton"
,Rip Off Press,,Rip Off Comix,,Think 80's,,1979,,,,5,,"Shelton, Gilbert",,"Griffith, Bill",,,,,,,,,,
,Rip Off Press,,Rip Off Comix,,"Cartoon Cavalcade, The Bill Bland Show",,1979,,,,5,,"Shelton, Gilbert",,"Beck, Joel",,,,,,,,,,
,Rip Off Press,,Rip Off Comix,,Mom Squad & The Space Pirates,,1979,,,,5,,"Shelton, Gilbert",,"Diggs, R.",,,,,,,,,,
,Rip Off Press,,Rip Off Comix,,Time-Twisted Tales,,1979,,,,5,,"Shelton, Gilbert",,"Sheridan, Dave",,,,,,,,,,
,Rip Off Press,,Rip Off Comix,,Wonder Warthog & The Famous Superheroes School,,1979,,,,5,,"Shelton, Gilbert",,"Shelton, Gilbert",,,,,,,,,,
,Rip Off Press,,Rip Off Comix,,"Cartoon Cavalcade, Let's Welcome Out the 70's",,1979,,,,5,,"Shelton, Gilbert",,"Beck, Joel",,,,,,,,,,
,Rip Off Press,,Rip Off Comix,,The 40-Year Old Hippie,,1979,,,,5,,"Shelton, Gilbert",,"Richards, Ted",,,,,,,,,,
,Rip Off Press,,Rip Off Comix,,Fat Freddy's Cat,,1980,,,,6,,"Shelton, Gilbert",,"Shelton, Gilbert",,,,,,NM,,20,,
,Rip Off Press,,Rip Off Comix,,Fabulous Furry Freak Brothers in the Death of Fat Freddy,,1980,,,,6,,"Shelton, Gilbert",,"Shelton, Gilbert",,"Mavrides, Paul",,,,,,,,
,Rip Off Press,,Rip Off Comix,,"Philbert Desanex' 100,000th Dream",,1980,,,,6,,"Shelton, Gilbert",,"Shelton, Gilbert",,,,,,,,,,
,Rip Off Press,,Rip Off Comix,,Advanced Motoring Tips #275,,1980,,,,6,,"Shelton, Gilbert",,"Shelton, Gilbert",,,,,,,,,,
,Rip Off Press,,Rip Off Comix,,Fabulous Furry Freak Brothersin Phineas Gets An Abortion,,1981,,,,8,,"Shelton, Gilbert",,"Shelton, Gilbert",,"Sheridan, Dave",,"Mavrides, Paul",,NM,,15,,1st Chapter of 4-part of WW story
,Rip Off Press,,Rip Off Comix,,Adventures of Fat Freddy's Cat,,1981,,,,8,,"Shelton, Gilbert",,"Shelton, Gilbert",,,,,,,,,,
,Rip Off Press,,Rip Off Comix,,Jesus & The Bank Robbers,,1981,,,,8,,"Shelton, Gilbert",,"Sturgeon, Foolbert",,,,,,,,,,
,Rip Off Press,,Rip Off Comix,,Wonder Warthog in the Battle of the Titans,,1981,,,,8,,"Shelton, Gilbert",,"Shelton, Gilbert",,"Bell, Tony",,"Brown, Joe E.",,,,,,
,Rip Off Press,,Rip Off Comix,,Spotty Dick,,1981,,,,8,,"Shelton, Gilbert",,"Baxendale, Leo",,,,,,,,,,
,Rip Off Press,,Rip Off Comix,,"Hey, Where You Been?",,1981,,,,8,,"Shelton, Gilbert",,"Pouncey, Edwin",,,,,,,,,,"signed ""Savage Pencil"""
,Rip Off Press,,Rip Off Comix,,3-Eyes McGurk and His Death Planet Commandos,,1981,,,,8,,"Shelton, Gilbert",,"Henry, Pedro",,,,,,,,,,
,Rip Off Press,,Rip Off Comix,,"The Whacky World of Wildlife, Several strips",,1981,,,,8,,"Shelton, Gilbert",,"Barker, Edward",,,,,,,,,,,,,,
,Rip Off Press,,Rip Off Comix,,The Lone Groover,,1981,,,,8,,"Shelton, Gilbert",,"Benyon, Tony",,,,,,,,,,,,,,
,Rip Off Press,,Rip Off Comix,,"Thok, Thok",,1981,,,,8,,"Shelton, Gilbert",,"Welch, Chris",,,,,,,,,,,,,,
,Rip Off Press,,Rip Off Comix,,At Last We Had Reached the Tower,,1981,,,,8,,"Shelton, Gilbert",,"Emerson, Hunt",,,,,,,,,,,,,,
,Rip Off Press,,Rip Off Comix,,These Simple Exercises Are Suitable for Either Sex,,1981,,,,8,,"Shelton, Gilbert",,"Gilliam, Terry",,,,,,,,,,,,,,
,Rip Off Press,,Rip Off Comix,,Dealer McDope Does the Triangle Tryst,,1980,,,,7,,"Sheridan, Dave",,"Griffith, Bill",,,,,,VF,,,,Back cover by R. Diggs,,,,
,Rip Off Press,,Rip Off Comix,,Cartoon Cavalcade,,1980,,,,7,,"Sheridan, Dave",,"Beck, Joel",,,,,,,,,,,,,,
,Rip Off Press,,Rip Off Comix,,Griffith Observatory,,1980,,,,7,,"Sheridan, Dave",,"Griffith, Bill",,,,,,,,,,,,,,
,Rip Off Press,,Rip Off Comix,,Fat Freddy's Cat in The Sacred Sands of Pootweet,,1980,,,,7,,"Sheridan, Dave",,"Shelton, Gilbert",,,,,,,,,,,,,,
,Rip Off Press,,Rip Off Comix,,Looking for Dr. Feelgood,,1980,,,,7,,"Sheridan, Dave",,"Sturgeon, Foolbert",,,,,,,,,,,,,,
,Rip Off Press,,Rip Off Comix,,People Watching,,1980,,,,7,,"Sheridan, Dave",,"Griffith, Bill",,,,,,,,,,,,,,
,Rip Off Press,,Rip Off Comix,,The Adventures of Fat Freddy's Cat & His Friends,,1980,,,,7,,"Sheridan, Dave",,"Shelton, Gilbert",,,,,,,,,,,,,,
,Rip Off Press,,Rip Off Comix,,"OK You Guys, etc.",,1980,,,,7,,"Sheridan, Dave",,"Diggs, R.",,,,,,,,,20,,"Back Cover - Future World ROP R. Diggs, 6 separate titles ",,,
,Rip Off Press,,Rip Off Comix,,Cartoon Cavalcade,,1980,,,,7,,"Sheridan, Dave",,"Beck, Joel",,,,,,,,,,,8 separate titles,,,
,Rip Off Press,,Rip Off Comix,,"Griffith Observatory, Are you a Boozhie?, etc.",,1980,,,,7,,"Sheridan, Dave",,"Griffith, Bill",,,,,,,,,,,9 separate title ,,,
,Ripoff Press,,Rip Off Comix,,Fabulous Furry Freak Brothersin the Parakeet That Outwitted the DEA,,1977,,,,1,,"Shelton, Gilbert",,"Shelton, Gilbert",,,,,,NM,,25,,,,,,
,Ripoff Press,,Rip Off Comix,,Street Crazies,,1977,,,,1,,,,"Griffith, Bill",,,,,,,,,,
,Ripoff Press,,Rip Off Comix,,Dr. Feelgood,,1977,,,,1,,,,"Sturgeon, Foolbert",,,,,,,,,,
,Ripoff Press,,Rip Off Comix,,E.Z. Wolf,,1977,,,,1,,,,"Richards, Ted",,,,,,,,,,
,Ripoff Press,,Rip Off Comix,,Forty-Year Old Hippie,,1977,,,,1,,,,"Richards, Ted",,,,,,,,,,
,Ripoff Press,,Rip Off Comix,,The Anal Retentives,,1977,,,,1,,,,"Griffith, Bill",,,,,,,,,,
,Ripoff Press,,Rip Off Comix,,Grace and Grease,,1977,,,,1,,,,"Green, Justin",,,,,,,,,,
,Ripoff Press,,Rip Off Comix,,Advanced Motoring Tips,,1977,,,,1,,,,"Shelton, Gilbert",,,,,,,,,,
,Rip Off Press,,Rip Off Comix,,Wonder Warthog Goes on Welfare,,1977,,,,1,,,,"Shelton, Gilbert",,,,,,,,,,
,Rip Off Press,,Rip Off Comix,,Wonder Warthog in Epidemic,,1977,,,,2,,"Shelton, Gilbert",,"Shelton, Gilbert",,,,,,NM,,20,,Back Cover:  On a Perfectly Clear Day - Gilbert Shelton
,Rip Off Press,,Rip Off Comix,,Phineas Goes to the Store,,1977,,,,2,,"Shelton, Gilbert",,"Shelton, Gilbert",,,,,,VF,,,,
,Rip Off Press,,Rip Off Comix,,Kids of Today,,1977,,,,2,,"Shelton, Gilbert",,"Griffith, Bill",,,,,,,,,,
,Rip Off Press,,Rip Off Comix,,Dorman's Doggie,,1977,,,,2,,"Shelton, Gilbert",,"Sturgeon, Foolbert",,,,,,,,,,
,Rip Off Press,,Rip Off Comix,,Rowdy Noody,,1977,,,,2,,"Shelton, Gilbert",,"Green, Justin",,,,,,,,,,
,Rip Off Press,,Rip Off Comix,,Religious Nuts,,1977,,,,2,,"Shelton, Gilbert",,"Griffith, Bill",,,,,,,,,,
,Rip Off Press,,Rip Off Comix,,Nerds,,1977,,,,2,,"Shelton, Gilbert",,"Sheridan, Dave",,,,,,,,,,
,Rip Off Press,,Rip Off Comix,,The 40-Year Old Hippie in the Rip,,1977,,,,2,,"Shelton, Gilbert",,"Richards, Ted",,,,,,,,,,
,Rip Off Press,,Rip Off Comix,,The Doomsters,,1977,,,,2,,"Shelton, Gilbert",,"Griffith, Bill",,,,,,,,,,
,Rip Off Press,,Rip Off Comix,,Terror Under the Bed,,1977,,,,2,,"Shelton, Gilbert",,"Diggs, R",,,,,,,,,,
,Rip Off Press,,Rip Off Comix,,The Year is 3711,,1977,,,,2,,"Shelton, Gilbert",,"Sheridan, Dave",,,,,,,,,,
,Rip Off Press,,Rip Off Comix,,The 40-Year Old Hippie,,1977,,,,2,,"Shelton, Gilbert",,"Richards, Ted",,,,,,,,,,
,Rip Off Press,,Rip Off Comix,,Casebook of Dr. Feelgood,,1977,,,,2,,"Shelton, Gilbert",,"Sturgeon, Foolbert",,,,,,,,,,
,Rip Off Press,,Rip Off Comix,,The Adventures of Fat Freddy's Cat,,1977,,,,2,,"Shelton, Gilbert",,"Shelton, Gilbert",,,,,,,,,,
,Rip Off Press,,Rip Off Comix,,Advanced Motoring Tips #149,,1977,,,,2,,"Shelton, Gilbert",,"Shelton, Gilbert",,,,,,,,,,
,Rip Off Press,,Rip Off Comix,,The Geniuses,,1977,,,,2,,"Shelton, Gilbert",,"Griffith, Bill",,,,,,,,,,
,Marvel,,Scooby-Doo,,Mystery at Malibu,,,,,,9,,,,,,,,,,poor - torn cover only,,NV,,
Keep,DC,,Secrets of Haunted House,,Intro,,1980,,6,,30,,"Orlando, Joe",,"Hampton, Scott",,,,,,VG,,3,,
,DC,,Secrets of Haunted House,,Die From Laughter,,1980,,6,,30,,"Orlando, Joe",,"Patricio, Ernesto",,,,,,,,,,
,DC,,Secrets of Haunted House,,For the Love of Arlo,,1980,,6,,30,,"Orlando, Joe",,"Newton, Don",,"Adkins, Dan",,,,,,,,
,DC,,Secrets of Haunted House,,Tales of Destiny: Russian Roulette,,1980,,6,,30,,"Orlando, Joe",,"Jodloman, Jess",,,,,,,,,,
,DC,,Secrets of Haunted House,,About Amy,,1981,,7,,37,,Buckler,,"Barretto, Ed",,"Colletta, Vince",,,,GD,,1,,cover also Giordano
,DC,,Secrets of Haunted House,,The Shaman's Curse,,1981,,7,,37,,Buckler,,"Von Eedon, Trevor",,"Smith, Bob",,,,,,,,
,DC,,Secrets of Haunted House,,Trail of the Dying,,1981,,7,,37,,Buckler,,"Estrada, Ric",,,,,,,,,,
,DC,,Secrets of Haunted House,,The Third Wish is Death,,1981,,7,,37,,Buckler,,"Spiegle, Dan",,,,,,
,DC,,Sgt. Rock,,The Darkest Night,,1981,,30,,354,,"Kubert, Joe",,"Redondo, Frank",,,,,,VG
,DC,,Sgt. Rock,,To The Last Man,,1981,,30,,354,,"Kubert, Joe",,"Truman, Tim",,,,,,
,DC,,Sgt. Rock,,Flamethrower,,1981,,30,,354,,"Kubert, Joe",,,,,,,,
,DC,,Sgt. Rock,,Killer Time,,1981,,30,,354,,"Kubert, Joe",,"Mandrake,",,,,,,
,DC,,Sgt. Rock,,Dead-Letter,,1981,,30,,354,,"Kubert, Joe",,,,,,,,
,DC,,Sgt. Rock,,The Men of Easy - You'll Never Lose Me,,1981,,30,,354,,"Kubert, Joe",,"Randall, Ron",,,,,,VG/F
,DC,,Sgt. Rock,,Tarnished Brass,,1981,,30,,353,,"Kubert, Joe",,"Redondo, Frank",,,,,,VG/F
,DC,,Sgt. Rock,,Soldier's Woman,,1981,,30,,353,,"Kubert, Joe",,"DeMuldar, Kim",,,,,,VG/F
,DC,,Sgt. Rock,,The Red Devil,,1981,,30,,353,,"Kubert, Joe",,"Mandrake, ",,,,,,VG/F
,DC,,Sgt. Rock,,The Men of Easy Company - The History Lesson,,1981,,30,,353,,"Kubert, Joe",,"Randall, Ron",,,,,,VG/F
,DC,,Sgt. Rock,,The First Army,,1981,,30,,353,,"Kubert, Joe",,"Ambielli, Betsy",,,,,,VG/F
,DC,,Sgt. Rock,,Naked Soldier,,1980,,29,,344,,"Kubert, Joe",,"Redondo, Frank",,,,,,VG/F
,DC,,Sgt. Rock,,The Charm,,1980,,29,,344,,"Kubert, Joe",,,,,,,,VG/F
,DC,,Sgt. Rock,,The Hun,,1980,,29,,344,,"Kubert, Joe",,,,,,,,VG/F
,DC,,Sgt. Rock,,Buddy,,1980,,29,,344,,"Kubert, Joe",,,,,,,,VG/F
,DC,,Sgt. Rock,,Good In-Tentions,,1980,,29,,344,,"Kubert, Joe",,,,,,,,VG/F,,
,DC,,Sgt. Rock,,Stray Pigeon,,1980,,29,,344,,"Kubert, Joe",,,,,,,,VG/F,,
,DC,,Sgt. Rock,,The Six Sides of Sgt. Rock,,1980,,29,,342,,"Kubert, Joe",,"Redondo, Frank",,,,,,VG/F,,
,DC,,Sgt. Rock,,The Talisman,,1980,,29,,342,,"Kubert, Joe",,"Ayers, Dick",,"Estrada, Ric",,,,VG/F,,
,DC,,Sgt. Rock,,They're Out There,,1980,,29,,346,,,,"Redondo, Frank",,,,,,Incomplete; no cover,,
,DC,,Sgt. Rock,,Perilous Night,,1980,,29,,346,,,,,,,,,,,,
,DC,,Sgt. Rock,,The Giant Guns,,1980,,29,,346,,,,"Yeates, T",,,,,,,,
,DC,,Sgt. Rock,,Waterboy,,1980,,29,,346,,,,,,,,,,,,
,DC,,Sgt. Rock,,The Grass is Red,,1980,,29,,346,,,,,,,,,,,,
,DC,,Sgt. Rock,,Detour,,1980,,29,,346,,,,"Bisbette, SR",,,,,,,,
,DC,,Shade the Changing Man,,Escape into the Trap,,1977,,1,,3,,"Ditko, Steve",,"Ditko, Steve",,,,,,VF,,6
,DC,,Shade the Changing Man,,To Rescue My Destroyer,,1977,,1,,4,,"Ditko, Steve",,"Ditko, Steve",,,,,,VF,,6
,DC,,Shade the Changing Man,,The Forms of Destruction,,1977,,1,,2,,"Ditko, Steve",,"Ditko, Steve",,,,,,VF minus,,5
,DC,,Shazam,,The World's Mightiest Dessert,,1974,,2,,11,,,,"Oksner, Bob",,"Colletta, Vince",,,,VF,,15
,DC,,Shazam,,The Year Without a Christmas,,1974,,2,,11,,,,"Schaffenberger, Kurt",,,,,,,,
,DC,,Sherlock Holmes,,The Final Problem,,1975,,1,,1,,"Onson, Jim",,"O'Neil, Dennis J",,"Cruz, E.R,",,,,VF,,23
,Head Press,,Short Order Comix,,Zippy in Real-Life Dolls,,1973,,,,1,,"Grant, Skeeter",,"Griffith, Bill",,,,,,NM,,20,,"Inside Front Cover: Yakity-Yack by Joe Schenkman, Inside Back Cover:  The Beat Goes On Schenkman, Back Cover:  Claude Funston, Bill Griffith"
,Head Press,,Short Order Comix,,Skeeter Grant by Skeeter Grant,,1973,,,,1,,"Grant, Skeeter",,"Spiegelman, Art",,,,,,,,,,
,Head Press,,Short Order Comix,,All 'Board for the Nite Train,,1973,,,,1,,"Grant, Skeeter",,"Schenkman, Joe",,,,,,,,,,Two separate pages
,Head Press,,Short Order Comix,,"The Baby Einstein, Is Nothing Sacred?",,1973,,,,1,,"Grant, Skeeter",,"Griffith, Bill",,,,,,,,,,
,Head Press,,Short Order Comix,,Just a Piece o' Shit,,1973,,,,1,,"Grant, Skeeter",,"Grant, Skeeter",,,,,,,,,,
,Head Press,,Short Order Comix,,Hopalong Cassidy's Wild Desire,,1973,,,,1,,"Grant, Skeeter",,"Griffith, Bill",,,,,,,,,,
,Head Press,,Short Order Comix,,Minnie Pearl's Y'All Cum,,1973,,,,1,,"Grant, Skeeter",,"Schenkman, Joe",,,,,,,,,,
,Head Press,,Short Order Comix,,Randy & Cherisse in the Second Dimension,,1973,,,,1,,"Grant, Skeeter",,"Griffith, Bill",,,,,,,,,,
,Head Press,,Short Order Comix,,Centerfold Manifesto,,1973,,,,1,,"Grant, Skeeter",,"Griffith, Bill",,"Spiegelman, Art",,"Schenkman, Joe",,,,,,"Cameos by R. Crumb, Justin Green, Willy Murphy, ""Stuart"", Jay Kinney"
,Head Press,,Short Order Comix,,The Hood Brothers in Flame Job,,1973,,,,1,,"Grant, Skeeter",,"Schenkman, Joe",,,,,,,,,,
,Head Press,,Short Order Comix,,Alienation Blues,,1973,,,,1,,"Grant, Skeeter",,"Spiegelman, Art",,,,,,,,,,
,Head Press,,Short Order Comix,,Zippy the Zany Zealot,,1973,,,,1,,"Grant, Skeeter",,"Griffith, Bill",,,,,,,,,,
,Head Press,,Short Order Comix,,Skinless Perkins,,1973,,,,1,,"Grant, Skeeter",,"Spiegelman, Art",,,,,,,,,,
,Head Press,,Short Order Comix,,A Fool's Folly Fouled,,1973,,,,1,,"Grant, Skeeter",,"Griffith, Bill",,,,,,,,,,
,Head Press,,Short Order Comix,,Prisoner on the Hell Planet,,1973,,,,1,,"Grant, Skeeter",,"Spiegelman, Art",,,,,,,,,,
,"Kitchen Sink Enterprises, A Division of Krupp Comicworks",,Snarf,,All Hail Alexander Nutsky,,1972,,1,,2,,"Lynch, Jay",,"Poplaski, Peter",,,,,,VF/NM,,27,,Back cover:  Peter Poplaski
,"Kitchen Sink Enterprises, A Division of Krupp Comicworks",,Snarf,,Wild Man Meets Rubberoy,,1972,,1,,2,,"Lynch, Jay",,"Green, Richard ""Grass""",,,,,,VF,,,,
,"Kitchen Sink Enterprises, A Division of Krupp Comicworks",,Snarf,,A Day in the Lab,,1972,,1,,2,,"Lynch, Jay",,"Boxell, Tim",,"Kitchen, Denis",,,,VF,,,,
,"Kitchen Sink Enterprises, A Division of Krupp Comicworks",,Snarf,,Ma Cow,,1972,,1,,2,,"Lynch, Jay",,"Geradts, Evert",,"Pugh, Wendel",,,,VF,,,,
,"Kitchen Sink Enterprises, A Division of Krupp Comicworks",,Snarf,,Crescent City Rollo,,1972,,1,,2,,"Lynch, Jay",,"Pugh, Wendel",,,,,,VF,,,,
,"Kitchen Sink Enterprises, A Division of Krupp Comicworks",,Snarf,,Let's Be Honest,,1972,,1,,2,,"Lynch, Jay",,"Kitchen, Denis",,,,,,,,,,
,"Kitchen Sink Enterprises, A Division of Krupp Comicworks",,Snarf,,Terry the Turgid Toad,,1972,,1,,2,,"Lynch, Jay",,"Kitchen, Denis",,,,,,,,,,
,Last Gap Eco Funnies,,Spasm!,,,,1973,,,,,,"Jones, Jeff",,"Jones, Jeff",,,,,,FN,,15,,
,Marvel,,"Spider-Man, Marvel Team-Up, with the Incredible Hulk",,Nightmare in New Mexico,,1977,,1,,53,,,,"Byrne, John",,"Giacoia, Frank",,,,NM/M,,,,"Appearance by X-Men, guest featuring Wood God"
,Marvel,,"Spider-Man, Marvel Team-Up with Captain America",,Danger:  Demon on a Rampgage,,1976,,1,,52,,,,"Buscema, Sal",,"Esposito, Mike",,,,M,,,,
,Marvel,,"Spider-Man, Marvel Team-Up with Iron Man",,The Trial of the Wraith,,1976,,1,,51,,,,"Buscema, Sal",,"Esposito, Mike",,,,M,,,,
,Marvel,,"Spider-Man, Marvel Team-Up with Dr. Strange",,The Mystery of the Wraith,,1976,,1,,50,,,,"Buscema, Sal",,"Esposito, Mike",,,,Inc.,,NV,,
,Marvel,,"Spider-Man, Marvel Team-Up with Iron Man",,A Fine Night for Dying,,1976,,1,,48,,"Romita,",,"Buscema, Sal",,"Esposito, Mike",,,,NM/M,,,,
,Marvel,,"Spider-Man, Marvel Team-Up with The Thing",,I Have to Fight the Basilisk,,1976,,1,,47,,K/S,,"Wilson, Ron",,"Adkins, Dan",,,,NM plus,,,,
,Marvel,,"Spider-Man, Marvel Team-Up with Deathlok",,Am I Now or Have I Ever Been?,,1976,,1,,46,,"Buckler, ",,"Buscema, Sal",,"Esposito, Mike",,,,M,,,,Esposito also on cover
,Marvel,,"Spider-Man, Marvel Team-Up with Killraven",,Future-Shock!,,1976,,1,,45,,,,"Buscema, Sal",,"Esposito, Mike",,,,NM/M,,,,
,Marvel,,"Spider-Man, Marvel Team-Up with Moondragon",,Death in the Year Before Yesterday,,1976,,1,,44,,"Kane, Gil",,"Buscema, Sal",,"Esposito, Mike",,,,M,,,,Dan Adkins also on cover
,Marvel,,"Spider-Man, Marvel Team-Up with Dr. Doom",,A Past Gone Mad,,1976,,1,,43,,,,"Buscema, Sal",,"Esposito, Mike",,,,M minus,,,,
,Marvel,,"Spider-Man, Marvel Team-Up with The Vision",,Visions of Hate,,1976,,1,,42,,,,"Buscema, Sal",,"Esposito, Mike",,,,M,,,,
,Marvel,,"Spider-Man, Marvel Team-Up with Captain Britain",,Murder World,,1978,,1,,66,,,,"Byrne, John",,"Hunt, Dave",,,,NM/M,,,,
,Marvel,,"Spider-Man, Marvel Team-Up with The Man-Thing",,The Measure of a Man,,1978,,1,,68,,"Byrne, John",,"Byrne, John",,"Wiacek, Bob",,,,M,,,,Rubenstein also on cover
,Marvel,,"Spider-Man, Marvel Team-Up with The Wasp",,A Matter of Love & Death,,1977,,1,,60,,,,"Byrne, John",,"Hunt, Dave",,,,M minus,,,,
,Marvel,,"Spider-Man, Marvel Team-Up with The Human Torch",,Not All Thy Powers Can Save Thee,,1977,,1,,61,,,,"Byrne, John",,"Hunt, Dave",,,,M minus,,,,
,Marvel,,"Spider-Man, Marvel Team-Up with Satana",,Last Rites,,1979,,1,,81,,,,"Vozburg, Mike",,"Lealoha, Steve",,,,M minus,,,,
,Marvel,,"Spider-Man, Marvel Team-Up with Dr. Strange & Clea",,A Sorcerer Possessed,,1979,,1,,80,,"Vallidar,",,"Vozburg, Mike",,"Day, G",,,,M,,,,McLeod also on cover
,Marvel,,"Spider-Man, Marvel Team-Up with Red Sonja",,Sword of the She-Devil,,1979,,1,,79,,"Byrne, John",,"Byrne, John",,"Austin, Terry",,,,M,,,,Terry Austin also on cover
,Marvel,,"Spider-Man, Marvel Team-Up, with Wonder Man",,Claws!,,1979,,1,,78,,"Milgrom, Al",,"Perlin, Don",,"Giacoia, Frank",,,,M,,,,
,Marvel,,"Spider-Man, Marvel Team-Up with Falcon",,Deathgarden,,1978,,1,,71,,"Chan, Ernie",,"Wenzel, Dave",,"Green, Dan",,,,M minus,,,,
,Marvel,,"Spider-Man, Marvel Team-Up with Tigra",,"Tigra, Tigra, Burning Bright",,1978,,1,,67,,,,"Byrne, John",,"Hunt, Dave",,,,M,,,,
,Marvel,,"Spider-Man, Marvel Team-Up with Yellow Jacket & The Wasp",,"Some Say Spidey Will Die By Fire, Some Say By Ice",,1977,,1,,59,,,,"Byrne, John",,"Hunt, Dave",,,,M,,,,
,Marvel,,"Spider-Man, Marvel Team-Up with Ghost Rider",,Panic on Pier 1,,1977,,1,,58,,,,"Buscema, Sal",,"Marcos, P",,,,M minus,,,,
,Marvel,,"Spider-Man, Marvel Team-Up with The Black Widow",,When Slays the Silver Samurai,,1977,,1,,57,,Cochrun?,,"Buscema, Sal",,"Hunt, Dave",,,,NM,,,,
,Marvel,,"Spider-Man, Marvel Team-Up with Warlock",,"Spider, Spider on the Moon",,1977,,1,,55,,Cochrun?,,"Byrne, John",,"Hunt, Dave",,,,NM/M,,,,
,Marvel,,"Spider-Man, Marvel Team-Up with The Incredible Hulk",,Spider in the Middle,,1977,,1,,54,,,,"Byrne, John",,"Esposito, Mike",,,,M minus,,,,
,Marvel,,"Spider-Man, Marvel Team-Up with Ms. Marvel",,All This & the QE II,,1977,,1,,62,,,,"Byrne, John",,"Hunt, Dave",,,,NM/M,,,,
,Marvel,,"Spider-Man, Marvel Team-Up, with The Daughters of the Dragon",,If Death Be My Destiny,,1977,,1,,64,,Cochrun?,,"Byrne, John",,"Hunt, Dave",,,,NM,,,,
Keep,Marvel,,"Spiderman, Storm and Cage",,,,1998,,,,,,,,Tata,,"Lee, Norman",,Dickey,,little beat up,,,,Amer. Cancer Society anti-smoking
,DC,,Stalker,,Quest for a Stolen Soul,,1975,,1,,1,,"Wood, Wally",,"Ditko, Steve",,"Wood, Wally",,,,NM minus,,18,,
,DC,,Stalker,,The Freezing Flames of the Burning Isle,,1975,,1,,3,,"Wood, Wally",,"Ditko, Steve",,"Wood, Wally",,,,VF,,6,,
,DC,,Stalker,,Invade the Inferno,,1975,,1,,4,,"Wood, Wally",,"Ditko, Steve",,"Wood, Wally",,,,FN/VF,,5,,
,DC,,Stanley & His Monster,,A Funny Thing Happened on the Way to Infinity,,1968,,,,109,,,,"Oksner, Bob",,"Blaisdell, Tex",,,,VF minus,,33,,
Keep,DC,,Star Fire,,A World Made of War,,1976,,1,,1,,,,"Vosburg, Mike",,"Smith, Bob",,,,VF,,3,,
,DC,,Star Man,,Star Man,,1976,,2,,12,,"Kubert, Joe",,"Vosburg, Mike",,"Royer, Mike",,,,VF,,11,,
,DC,,Star Man,,Field Testing,,1988,,,,2,,"Lyle, Tom",,"Lyle, Tom",,"Smith, Bob",,,,VF/NM,,3,,Bob Smith also on cover
,DC,,Star Man,,Lone Star Takedown,,1988,,,,3,,"Lyle, Tom",,"Lyle, Tom",,"Smith, Bob",,,,VF/NM,,3,,"Bob Smith also on cover, vs. Bolt"
,DC,,Star Man,,Don't You Know There's a War On,,1988,,,,5,,"Lyle, Tom",,"Lyle, Tom",,"Smith, Bob",,,,VF,,3,,"featuring Firehawk, Firestorm, & Power Girl"
,DC,,Star Man,,Fortunes of War,,1988,,,,6,,"Lyle, Tom",,"Lyle, Tom",,"Smith, Bob",,,,FN/VF,,3,,"featuring Green Arrow, Power Girl, The Atom, Blue Beetle, The Power Elite"
,DC,,Star Man,,The Queen & the Commoners,,1989,,,,8,,"Lyle, Tom",,"Lyle, Tom",,"Smith, Bob",,,,VF/NM,,3,,featuring Lady Quark
,DC,,Star Man,,Blockbuster!,,1989,,,,9,,"Lyle, Tom",,"Lyle, Tom",,"Smith, Bob",,,,FN/VF,,3,,featuring Bat Man
,DC,,Strange Sports Stories,,Gridiron Knightmare,,1974,,2,,3,,,,Swam Curt,,"Giordano, Dick",,,,Incomplete; front cover missing,,Not Valued,,
,DC,,Strange Sports Stories,,Man Who Leaped Over the Earth,,1974,,2,,3,,,,"Giordano, Dick",,,,,,,,,,
,DC,,Strange Sports Stories,,The Challenge of the Faceless Five,,1974,,2,,4,,,,"Rosenberger, John",,,,,,VF/NM,,13,,
,DC,,Strange Sports Stories,,Man With the Golden Gloves,,1974,,2,,4,,,,"Novick, Irv",,"Giordano, Dick",,,,,,,,
,DC,,Strange Sports Stories,,Hockey-Mask of Death,,1974,,2,,5,,,,"Rosenberger, John",,,,,,VF,,9,,
,DC,,Strange Sports Stories,,Ski-Chase Through Space,,1974,,2,,5,,,,"Novick, Irv",,"McLaughlin, Frank",,,,,,,,
,Marvel,,Strange Tales Featuring Brother Voodoo,,Unliving Legions of Baron Samedi,,1973,,1,,171,,,,"Colan, Gene",,"Giacoia, Frank",,,,VF minus,,20,,
,Marvel,,Strange Tales Featuring Brother Voodoo,,Death Cult of the Dark Load,,1974,,1,,172,,,,"Colan, Gene",,"Giordano, Dick",,,,Incomplete,,NV,,
